location_id,zone,degree
138,LaGuardia Airport,354
132,JFK Airport,349
186,Penn Station/Madison Sq West,318
140,Lenox Hill East,315
170,Murray Hill,314
68,East Chelsea,313
230,Times Sq/Theatre District,311
162,Midtown East,311
161,Midtown Center,311
75,East Harlem South,308
48,Clinton East,306
164,Midtown South,304
237,Upper East Side South,303
79,East Village,302
137,Kips Bay,302
100,Garment District,297
141,Lenox Hill West,297
236,Upper East Side North,297
233,UN/Turtle Bay South,294
263,Yorkville West,293
229,Sutton Place/Turtle Bay North,293
163,Midtown North,293
234,Union Sq,293
90,Flatiron,291
70,East Elmhurst,288
107,Gramercy,287
231,TriBeCa/Civic Center,286
142,Lincoln Square East,282
74,East Harlem North,279
148,Lower East Side,275
249,West Village,275
238,Upper West Side North,275
239,Upper West Side South,272
262,Yorkville East,265
246,West Chelsea/Hudson Yards,263
50,Clinton West,255
43,Central Park,254
87,Financial District North,253
113,Greenwich Village North,251
143,Lincoln Square West,251
114,Greenwich Village South,245
151,Manhattan Valley,239
144,Little Italy/NoLiTa,238
261,World Trade Center,236
41,Central Harlem,234
166,Morningside Heights,230
88,Financial District South,230
211,SoHo,218
13,Battery Park City,216
244,Washington Heights South,214
232,Two Bridges/Seward Park,213
42,Central Harlem North,212
65,Downtown Brooklyn/MetroTech,210
125,Hudson Sq,207
226,Sunnyside,207
181,Park Slope,205
25,Boerum Hill,204
7,Astoria,203
158,Meatpacking/West Village West,203
97,Fort Greene,201
209,Seaport,200
24,Bloomingdale,196
45,Chinatown,193
33,Brooklyn Heights,192
146,Long Island City/Queens Plaza,184
256,Williamsburg (South Side),184
116,Hamilton Heights,183
255,Williamsburg (North Side),182
224,Stuy Town/Peter Cooper Village,180
145,Long Island City/Hunters Point,179
4,Alphabet City,176
129,Jackson Heights,171
152,Manhattanville,168
112,Greenpoint,163
66,DUMBO/Vinegar Hill,163
223,Steinway,159
168,Mott Haven/Port Morris,156
52,Cobble Hill,152
80,East Williamsburg,152
260,Woodside,150
49,Clinton Hill,148
243,Washington Heights North,146
40,Carroll Gardens,145
193,Queensbridge/Ravenswood,143
61,Crown Heights North,140
179,Old Astoria,139
247,West Concourse,137
189,Prospect Heights,133
12,Battery Park,130
17,Bedford,125
37,Bushwick South,125
95,Forest Hills,117
188,Prospect-Lefferts Gardens,117
89,Flatbush/Ditmas Park,115
82,Elmhurst,114
69,East Concourse/Concourse Village,113
159,Melrose South,109
228,Sunset Park West,106
225,Stuyvesant Heights,104
36,Bushwick North,100
127,Inwood,100
235,University Heights/Morris Heights,96
169,Mount Hope,91
197,Richmond Hill,86
47,Claremont/Bathgate,86
106,Gowanus,86
62,Crown Heights South,85
217,South Williamsburg,84
119,Highbridge,84
136,Kingsbridge Heights,83
78,East Tremont,83
167,Morrisania/Melrose,83
198,Ridgewood,82
93,Flushing Meadows-Corona Park,82
213,Soundview/Castle Hill,82
18,Bedford Park,82
83,Elmhurst/Maspeth,81
242,Van Nest/Morris Park,80
220,Spuyten Duyvil/Kingsbridge,79
196,Rego Park,79
92,Flushing,78
76,East New York,78
190,Prospect Park,78
195,Red Hook,77
202,Roosevelt Island,76
14,Bay Ridge,76
22,Bensonhurst West,75
39,Canarsie,75
216,South Ozone Park,74
35,Brownsville,74
130,Jamaica,74
133,Kensington,73
174,Norwood,72
177,Ocean Hill,70
157,Maspeth,70
248,West Farms/Bronx River,70
20,Belmont,69
241,Van Cortlandt Village,69
257,Windsor Terrace,69
72,East Flatbush/Remsen Village,68
55,Coney Island,68
34,Brooklyn Navy Yard,68
254,Williamsbridge/Olinville,68
173,North Corona,68
56,Corona,67
135,Kew Gardens Hills,66
134,Kew Gardens,66
210,Sheepshead Bay,66
126,Hunts Point,65
147,Longwood,65
54,Columbia Street,65
26,Borough Park,64
200,Riverdale/North Riverdale/Fieldston,63
165,Midwood,62
160,Middle Village,62
85,Erasmus,60
227,Sunset Park East,60
94,Fordham South,59
208,Schuylerville/Edgewater Park,57
28,Briarwood/Jamaica Hills,57
149,Madison,57
67,Dyker Heights,56
60,Crotona Park East,56
194,Randalls Island,55
71,East Flatbush/Farragut,55
51,Co-Op City,55
182,Parkchester,54
29,Brighton Beach,54
185,Pelham Parkway,53
91,Flatlands,53
212,Soundview/Bruckner,52
123,Homecrest,52
250,Westchester Village/Unionport,52
259,Woodlawn/Wakefield,51
31,Bronx Park,51
10,Baisley Park,49
191,Queens Village,48
155,Marine Park/Mill Basin,47
128,Inwood Hill Park,47
32,Bronxdale,46
21,Bensonhurst East,46
81,Eastchester,46
120,Highbridge Park,45
131,Jamaica Estates,45
121,Hillcrest/Pomonok,44
183,Pelham Bay,43
102,Glendale,43
258,Woodhaven,41
16,Bayside,40
171,Murray Hill-Queens,39
64,Douglaston,39
153,Marble Hill,38
3,Allerton/Pelham Gardens,37
178,Ocean Parkway South,36
205,Saint Albans,36
63,Cypress Hills,35
108,Gravesend,34
192,Queensboro Hill,34
77,East New York/Pennsylvania Avenue,34
11,Bath Beach,34
44,Charleston/Tottenville,34
240,Van Cortlandt Park,34
53,College Point,32
252,Whitestone,30
98,Fresh Meadows,28
150,Manhattan Beach,27
15,Bay Terrace/Fort Totten,25
124,Howard Beach,25
23,Bloomfield/Emerson Hill,25
215,South Jamaica,23
86,Far Rockaway,23
73,East Flushing,22
180,Ozone Park,20
219,Springfield Gardens South,19
8,Astoria Park,19
201,Rockaway Park,18
9,Auburndale,18
38,Cambria Heights,18
175,Oakland Gardens,17
101,Glen Oaks,16
19,Bellerose,16
218,Springfield Gardens North,15
117,Hammels/Arverne,14
1,Newark Airport,14
207,Saint Michaels Cemetery/Woodside,12
58,Country Club,12
122,Hollis,11
206,Saint George/New Brighton,10
46,City Island,10
96,Forest Park/Highland Park,9
115,Grymes Hill/Clifton,9
203,Rosedale,9
57,Corona,8
251,Westerleigh,8
118,Heartland Village/Todt Hill,8
222,Starrett City,8
214,South Beach/Dongan Hills,8
5,Arden Heights,7
184,Pelham Bay Park,7
139,Laurelton,7
221,Stapleton,6
111,Green-Wood Cemetery,6
156,Mariners Harbor,5
6,Arrochar/Fort Wadsworth,5
59,Crotona Park,5
245,West Brighton,4
172,New Dorp/Midland Beach,4
109,Great Kills,4
84,Eltingville/Annadale/Princes Bay,4
187,Port Richmond,3
27,Breezy Point/Fort Tilden/Riis Beach,2
30,Broad Channel,2
154,Marine Park/Floyd Bennett Field,2
176,Oakwood,2
253,Willets Point,2
99,Freshkills Park,1
204,Rossville/Woodrow,1
